id,season,actual_harvest_date,recorded_at,total_picks,yield_first_pick,yield_final_pick,grade_fine_final,fine_pct_constant,first_note,last_note
4dcbbf4b-f798-4c71-8af0-a23de7337f31,2021-2022,2021-10-16,2026-02-19,52,2.58,134.37,9.49,7.06258838,Pick 1 - Oct 2021,Pick 52 - Jan 2026 (final)
3c08c98d-ee24-4864-91e9-c559263d0a86,2021-2022,2021-10-18,2026-02-19,52,2.03,105.35,15.92,15.11153299,Pick 1 - Oct 2021,Pick 52 - Jan 2026 (final)
356cee24-39b3-450d-b51c-fae092e22c8b,2021-2022,2021-10-18,2026-02-19,52,1.01,52.68,6.21,11.78815490,Pick 1 - Oct 2021,Pick 52 - Jan 2026 (final)
d1311ab8-aafa-43c1-a12c-a9f8db98034a,2021-2022,2021-10-21,2026-02-19,51,0.81,41.19,5.60,13.59553290,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
cfee9a61-ec1d-4cda-adac-9fe023e291a8,2021-2022,2021-10-24,2026-02-19,51,0.57,29.25,2.10,7.17948718,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
7133e5a3-c5a5-4f81-b1a8-84f887798329,2021-2022,2021-10-25,2026-02-19,51,1.30,66.20,8.81,13.30815710,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
85f2da67-79ef-4846-8211-5b6e18f1d09e,2021-2022,2021-10-27,2026-02-19,51,0.21,10.78,0.92,8.53432282,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
39bed61f-0f57-4932-acc9-91e66124b288,2021-2022,2021-11-01,2026-02-19,51,0.24,12.15,0.93,7.65432099,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
60afe2a2-afe3-436c-b1c8-9fe443889e25,2021-2022,2021-11-03,2026-02-19,51,0.12,6.00,0.36,6.00000000,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
d1c1aa4b-29d9-4e35-bd6c-11948014e8eb,2021-2022,2021-11-04,2026-02-19,51,0.43,21.75,2.03,9.33333333,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
83fc1448-91c7-4a9e-8ad1-d9edb85a6c45,2021-2022,2021-11-06,2026-02-19,51,2.92,149.14,16.94,11.35845514,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
6f168d56-eb60-4eca-8b7a-60ca94a66242,2021-2022,2021-11-11,2026-02-19,51,1.01,51.30,7.20,14.03508772,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
e58a5e1a-c2b7-49d8-8c3c-464c0a797f2c,2021-2022,2021-11-14,2026-02-19,51,0.11,5.55,0.52,9.36936937,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
171ab3f1-3afb-49d0-b194-e31236bd572b,2021-2022,2021-11-15,2026-02-19,51,0.60,30.45,1.55,5.09031199,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
bd8704cf-99ef-49e5-9c87-0f2cbe7f05da,2021-2022,2021-11-23,2026-02-19,50,0.19,9.73,0.70,7.19424460,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
12219f45-1168-42b6-ae64-f7da3e9863c1,2021-2022,2021-11-25,2026-02-19,50,1.57,78.47,5.26,6.70319867,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
377986b9-371b-42bc-84c0-6a029685062d,2021-2022,2021-11-25,2026-02-19,50,0.42,21.15,1.55,7.32860520,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
9cec3c49-77c0-43de-9fad-8d3132c3cd63,2021-2022,2021-11-27,2026-02-19,50,0.42,21.07,2.61,12.38728049,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
f1cc5f1e-ee98-4c45-b656-b8f7b3dd2d1c,2021-2022,2021-11-27,2026-02-19,50,1.17,58.47,9.48,16.21344279,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
ec172214-a7ce-44c7-99f5-826f400baf2b,2021-2022,2021-11-29,2026-02-19,50,0.90,45.19,5.36,11.86103120,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
e9b15303-b910-424b-abc7-bae4ff33a610,2021-2022,2021-11-30,2026-02-19,50,1.56,78.15,12.68,16.22520793,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
20c45b1f-8986-42a6-abaa-4614cc54c4c9,2021-2022,2021-12-05,2026-02-19,50,0.63,31.47,3.50,11.12170321,Pick 1 - Dec 2021,Pick 50 - Jan 2026 (final)
eeed5d1d-76bb-4aed-94bb-6bb70ce6576b,2021-2022,2021-12-14,2026-02-19,50,4.51,225.47,28.75,12.75114206,Pick 1 - Dec 2021,Pick 50 - Jan 2026 (final)
89621fab-6d33-41c9-be24-89e4d65ce047,2021-2022,2021-12-20,2026-02-19,49,0.97,47.46,6.55,13.80109566,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
4d04e623-37af-4f7e-9dfa-2e55460e8e0f,2021-2022,2021-12-24,2026-02-19,49,1.52,74.38,6.32,8.49690777,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
2059330c-a2e8-4261-9c4b-b718efe5c069,2021-2022,2021-12-24,2026-02-19,49,0.39,19.06,2.58,13.53620147,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
17d7f2e1-9459-420d-b425-aace842cb155,2021-2022,2021-12-26,2026-02-19,49,1.12,54.72,6.21,11.34868421,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
19af0a54-e453-45c8-a684-1e6e4dc3f672,2021-2022,2021-12-28,2026-02-19,49,1.81,88.85,13.13,14.77771525,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
a3564db0-e95b-42bd-bfe0-983d012126c2,2021-2022,2021-12-28,2026-02-19,49,1.05,51.66,5.73,11.09175377,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
4c531c35-03dd-4aa1-ade8-6aeaad224f36,2021-2022,2021-12-29,2026-02-19,49,0.51,24.90,2.02,8.11244980,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
40a96481-cd7c-47d8-b7d5-d3b2526d82f4,2021-2022,2021-12-29,2026-02-19,49,0.20,9.60,1.22,12.70833333,Pick 1 - Dec 2021,Pick 49 - Dec 2025 (final)
3d81fdad-e375-4804-b796-fd2bcbef2903,2021-2022,2022-01-03,2026-02-19,49,2.93,143.65,21.55,15.00174034,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
b5bdaa2b-ebe1-4ba0-b0f7-9dfd87087e14,2021-2022,2022-01-05,2026-02-19,49,1.10,54.05,8.46,15.65217391,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
7e7813d2-6cdb-4380-a0b3-68be94561ea9,2021-2022,2022-01-06,2026-02-19,49,0.61,30.10,2.53,8.40531561,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
081f4d8e-2007-4c30-b677-ff514831ec17,2021-2022,2022-01-06,2026-02-19,49,1.04,51.08,6.42,12.56851997,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
3c104883-a0a0-4036-bb12-b43f75f082d1,2021-2022,2022-01-07,2026-02-19,49,0.75,36.58,4.00,10.93493712,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
3a33c893-6fa6-4e7d-aafa-11764db9cb6a,2021-2022,2022-01-08,2026-02-19,49,0.55,26.97,2.58,9.56618465,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
739e5956-832a-4b43-a096-f7dd3d027dc4,2021-2022,2022-01-09,2026-02-19,49,0.26,12.54,1.08,8.61244019,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
a4a40d04-97d8-4ea8-b16f-265925126e6c,2021-2022,2022-01-10,2026-02-19,49,1.89,92.77,14.09,15.18809960,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
55034614-cd01-4a8f-8d01-27720c7da6f5,2021-2022,2022-01-14,2026-02-19,49,2.17,106.33,16.95,15.94093859,Pick 1 - Jan 2022,Pick 49 - Jan 2026 (final)
f7d0c8ef-f038-4fe4-b407-f8595b537997,2022-2023,2022-10-10,2026-02-19,40,0.24,9.60,0.58,6.04166667,Pick 1 - Oct 2022,Pick 40 - Jan 2026 (final)
df72c208-1c90-4ecd-ad74-81ccbcdd58d4,2022-2023,2022-10-14,2026-02-19,40,0.48,19.36,2.58,13.32644628,Pick 1 - Oct 2022,Pick 40 - Jan 2026 (final)
40230174-76b6-4a34-beeb-cf5e4916fc74,2022-2023,2022-10-15,2026-02-19,40,0.57,22.89,2.23,9.74224552,Pick 1 - Oct 2022,Pick 40 - Jan 2026 (final)
3f5336f7-a48d-4bbb-ac5b-b50836b1d859,2022-2023,2022-10-16,2026-02-19,40,0.45,17.93,2.84,15.83937535,Pick 1 - Oct 2022,Pick 40 - Jan 2026 (final)
1ba96058-f728-410d-b373-c19bd581d071,2022-2023,2022-10-16,2026-02-19,40,3.71,148.56,19.18,12.91060851,Pick 1 - Oct 2022,Pick 40 - Jan 2026 (final)
1a9b0af4-c1a6-4e4e-ac1a-f23d38f4fce4,2022-2023,2022-10-18,2026-02-19,40,0.23,9.22,0.62,6.72451193,Pick 1 - Oct 2022,Pick 40 - Jan 2026 (final)
be12b927-4cd2-4f84-aed3-2c061f63fd5f,2022-2023,2022-10-22,2026-02-19,39,1.85,71.98,10.08,14.00388997,Pick 1 - Oct 2022,Pick 39 - Dec 2025 (final)
e492786c-3337-405d-a7ca-4805ae1f1790,2022-2023,2022-10-23,2026-02-19,39,1.60,62.38,10.35,16.59185636,Pick 1 - Oct 2022,Pick 39 - Dec 2025 (final)
b486708e-7fb8-4e1d-b7b5-eda684d7afe8,2022-2023,2022-10-25,2026-02-19,39,0.19,7.35,0.41,5.57823129,Pick 1 - Oct 2022,Pick 39 - Dec 2025 (final)
196d7bb5-121e-44a5-b182-63e705fa69d8,2022-2023,2022-10-27,2026-02-19,39,0.95,37.11,5.57,15.00943142,Pick 1 - Oct 2022,Pick 39 - Dec 2025 (final)
0a724230-5a25-4edb-9f69-af4c31bb50a1,2022-2023,2022-10-29,2026-02-19,39,4.90,191.10,28.91,15.12820513,Pick 1 - Oct 2022,Pick 39 - Dec 2025 (final)
8cbf9cce-99ec-4999-a4c9-e215e97f9499,2022-2023,2022-11-06,2026-02-19,39,5.76,224.59,21.47,9.55964201,Pick 1 - Nov 2022,Pick 39 - Jan 2026 (final)
85975f60-086b-41aa-989f-7ac955f21fc2,2022-2023,2022-11-06,2026-02-19,39,2.58,100.58,15.71,15.61940744,Pick 1 - Nov 2022,Pick 39 - Jan 2026 (final)
bb738dec-7e15-4bd8-be4f-9acc963c6958,2022-2023,2022-11-08,2026-02-19,39,0.56,21.70,1.25,5.76036866,Pick 1 - Nov 2022,Pick 39 - Jan 2026 (final)
60c608cf-a89b-4098-9299-1113a19a64c0,2022-2023,2022-11-10,2026-02-19,39,0.90,34.92,3.93,11.25429553,Pick 1 - Nov 2022,Pick 39 - Jan 2026 (final)
25901fec-33a8-4c74-b512-330d428bf8fa,2022-2023,2022-11-11,2026-02-19,39,0.75,29.25,3.01,10.29059829,Pick 1 - Nov 2022,Pick 39 - Jan 2026 (final)
81a2067f-7290-46f0-a051-11dc9713d22a,2022-2023,2022-11-12,2026-02-19,39,0.35,13.66,2.13,15.59297218,Pick 1 - Nov 2022,Pick 39 - Jan 2026 (final)
e2f839ac-5847-40bf-92ad-065d3806757f,2022-2023,2022-11-13,2026-02-19,39,0.82,32.14,3.29,10.23646546,Pick 1 - Nov 2022,Pick 39 - Jan 2026 (final)
94b63b76-4250-475e-90fb-d49eb6a28224,2022-2023,2022-11-24,2026-02-19,38,0.34,13.03,1.40,10.74443592,Pick 1 - Nov 2022,Pick 38 - Dec 2025 (final)
9c2faa9f-3955-45f5-866e-9ce93941c616,2022-2023,2022-12-05,2026-02-19,38,6.59,250.27,35.91,14.34850362,Pick 1 - Dec 2022,Pick 38 - Jan 2026 (final)
bf74dd3c-88b6-4feb-ac6d-1ef560eb5a0a,2022-2023,2022-12-05,2026-02-19,38,0.96,36.62,4.76,12.99836155,Pick 1 - Dec 2022,Pick 38 - Jan 2026 (final)
9bf05a71-7f9e-4f57-9428-3c87aea8a741,2022-2023,2022-12-07,2026-02-19,38,0.45,17.28,1.34,7.75462963,Pick 1 - Dec 2022,Pick 38 - Jan 2026 (final)
28003cf6-554a-4dc9-9f7b-09990a91ed7f,2022-2023,2022-12-10,2026-02-19,38,2.68,102.01,14.41,14.12606607,Pick 1 - Dec 2022,Pick 38 - Jan 2026 (final)
1096a681-0218-4849-9e09-47e109279ff3,2022-2023,2022-12-17,2026-02-19,38,0.32,12.15,0.76,6.25514403,Pick 1 - Dec 2022,Pick 38 - Jan 2026 (final)
b72ccc57-85dc-4a77-8f7d-ede565e1a9c5,2022-2023,2022-12-18,2026-02-19,38,4.54,172.44,17.40,10.09046625,Pick 1 - Dec 2022,Pick 38 - Jan 2026 (final)
eb30473d-6ccc-4bbf-b4da-a830e539e264,2022-2023,2022-12-21,2026-02-19,37,0.82,30.45,1.80,5.91133005,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
d95e9c2f-d701-4e8f-b35e-6e3ea24c42e1,2022-2023,2022-12-21,2026-02-19,37,0.57,21.15,1.32,6.24113475,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
f1c65e43-8ef2-41b9-ae60-eed96a9ef9b1,2022-2023,2022-12-22,2026-02-19,37,1.08,39.99,3.02,7.55188797,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
cdc34b69-92b2-4f58-ab34-9aded205bcb5,2022-2023,2022-12-24,2026-02-19,37,4.71,174.10,19.83,11.39000574,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
ee0de5a3-fe89-46ca-9cc5-7dfe6a536d09,2022-2023,2022-12-24,2026-02-19,37,0.76,28.15,1.61,5.71936057,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
ab261b4c-25f8-4558-85dc-824566c9a662,2022-2023,2022-12-24,2026-02-19,37,2.96,109.60,16.55,15.10036496,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
59da289a-b624-45fe-a0c6-a3600d022510,2022-2023,2022-12-26,2026-02-19,37,0.59,21.75,3.27,15.03448276,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
1bdd1952-3ce4-4329-a474-f4bf5194b2e1,2022-2023,2022-12-31,2026-02-19,37,3.43,126.74,9.90,7.81126716,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
9fd8fad3-5a4b-4d77-9495-09ff5b6aa018,2022-2023,2022-12-31,2026-02-19,37,1.06,39.24,5.27,13.43017329,Pick 1 - Dec 2022,Pick 37 - Dec 2025 (final)
a678ae6f-4638-4210-9710-a03313e0943d,2022-2023,2023-01-09,2026-02-19,37,4.62,171.04,19.28,11.27221703,Pick 1 - Jan 2023,Pick 37 - Jan 2026 (final)
54204f98-36da-4992-a39d-0bb89b44292e,2022-2023,2023-01-12,2026-02-19,37,2.29,84.70,11.30,13.34120425,Pick 1 - Jan 2023,Pick 37 - Jan 2026 (final)
89c4beb3-d267-4430-be70-0c53c9bfbdcd,2022-2023,2023-01-12,2026-02-19,37,1.18,43.50,6.16,14.16091954,Pick 1 - Jan 2023,Pick 37 - Jan 2026 (final)
753c4c52-40ca-408f-a242-b98351248e40,2022-2023,2023-01-13,2026-02-19,37,0.89,32.91,2.47,7.50531753,Pick 1 - Jan 2023,Pick 37 - Jan 2026 (final)
c6bf58fb-ca6c-4fc0-b733-97b915e28d34,2022-2023,2023-01-14,2026-02-19,37,1.77,65.56,8.65,13.19402074,Pick 1 - Jan 2023,Pick 37 - Jan 2026 (final)
b3440b96-c322-4aff-a9aa-ad684ac9e7f9,2022-2023,2023-01-15,2026-02-19,37,0.16,6.00,0.78,13.00000000,Pick 1 - Jan 2023,Pick 37 - Jan 2026 (final)
12026564-9d5a-4cca-8be0-002135eebbb5,2023-2024,2023-10-15,2026-02-19,28,0.77,21.59,1.91,8.84668828,Pick 1 - Oct 2023,Pick 28 - Jan 2026 (final)
564efbe9-8b90-40c4-bfa5-2af05ecd8de9,2023-2024,2023-10-20,2026-02-19,27,0.77,20.85,2.07,9.92805755,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
9396c99a-31d5-4073-8881-1e9f8f00823b,2023-2024,2023-10-22,2026-02-19,27,3.24,87.61,10.16,11.59684967,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
6d31f62a-253a-4de9-be08-97740a1e2d5f,2023-2024,2023-10-23,2026-02-19,27,0.43,11.74,1.83,15.58773424,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
96caa831-8766-4a8b-a66c-4191cd4f1d92,2023-2024,2023-10-23,2026-02-19,27,4.54,122.65,12.46,10.15898899,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
51b69a11-60d3-4fd8-b4b9-794a40009b98,2023-2024,2023-10-26,2026-02-19,27,4.52,122.12,14.52,11.88994432,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
3592d10a-9654-4c1a-868d-cfad6396e3b4,2023-2024,2023-10-26,2026-02-19,27,0.36,9.60,0.89,9.27083333,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
66823f21-b9d0-4bf5-aa1f-90c9d9f17aa5,2023-2024,2023-10-28,2026-02-19,27,1.93,52.05,5.34,10.25936599,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
e6ebd287-f345-4734-ac19-15a546949d6d,2023-2024,2023-10-31,2026-02-19,27,0.54,14.70,1.23,8.36734694,Pick 1 - Oct 2023,Pick 27 - Dec 2025 (final)
e231d661-3464-41d6-bb95-ed3f15e0683c,2023-2024,2023-11-02,2026-02-19,27,0.22,6.00,0.72,12.00000000,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
f93d767c-ae99-42cd-8053-26405a1fcc2f,2023-2024,2023-11-05,2026-02-19,27,1.01,27.34,4.03,14.74030724,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
2fe7214e-3ec4-4ea6-9647-14018464a9be,2023-2024,2023-11-07,2026-02-19,27,1.26,34.13,4.79,14.03457369,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
c352c42c-6d26-469e-9e17-f48294765391,2023-2024,2023-11-07,2026-02-19,27,1.39,37.65,2.70,7.17131474,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
1287799f-bd99-4ae2-90b1-950b4ced710e,2023-2024,2023-11-09,2026-02-19,27,0.40,10.78,1.30,12.05936920,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
099d4268-4b02-456a-adeb-ad70bb4cf38c,2023-2024,2023-11-10,2026-02-19,27,1.08,29.25,3.09,10.56410256,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
573a348a-7972-40ed-914b-e361adc9f592,2023-2024,2023-11-10,2026-02-19,27,2.41,65.03,10.14,15.59280332,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
7d1f2486-8b67-4a5f-8661-3d3151bd9b06,2023-2024,2023-11-11,2026-02-19,27,1.41,38.07,4.47,11.74152876,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
1ec177d1-d286-427a-87fa-d3d1bb38dc44,2023-2024,2023-11-12,2026-02-19,27,1.47,39.75,5.72,14.38993711,Pick 1 - Nov 2023,Pick 27 - Jan 2026 (final)
cf10cbdb-b3cb-4b36-9839-93f47bc63ff1,2023-2024,2023-11-23,2026-02-19,26,1.88,48.99,4.76,9.71626863,Pick 1 - Nov 2023,Pick 26 - Dec 2025 (final)
d9f3118c-6993-444f-9498-2cecc924761a,2023-2024,2023-11-23,2026-02-19,26,5.77,150.13,19.95,13.28848331,Pick 1 - Nov 2023,Pick 26 - Dec 2025 (final)
8fb7cb5d-21e3-4337-9067-59f68ad8284c,2023-2024,2023-11-24,2026-02-19,26,1.58,41.20,3.60,8.73786408,Pick 1 - Nov 2023,Pick 26 - Dec 2025 (final)
